libxsmm dense, 0, 0, 7106.235000
Mismatch 63765.000000 != 9009.000000 at row 0, col 0
Mismatch 126459.000000 != 0.000000 at row 0, col 1
Mismatch 189153.000000 != 0.000000 at row 0, col 2
Mismatch 251847.000000 != 14247.000000 at row 0, col 3
Mismatch 314541.000000 != 0.000000 at row 0, col 4
Mismatch 377235.000000 != 0.000000 at row 0, col 5
Mismatch 439929.000000 != 19485.000000 at row 0, col 6
Mismatch 502623.000000 != 0.000000 at row 0, col 7
Mismatch 565317.000000 != 0.000000 at row 0, col 8
Mismatch 64035.000000 != 9063.000000 at row 1, col 0
Mismatch 127053.000000 != 0.000000 at row 1, col 1
Mismatch 190071.000000 != 0.000000 at row 1, col 2
Mismatch 253089.000000 != 14337.000000 at row 1, col 3
Mismatch 316107.000000 != 0.000000 at row 1, col 4
Mismatch 379125.000000 != 0.000000 at row 1, col 5
Mismatch 442143.000000 != 19611.000000 at row 1, col 6
Mismatch 505161.000000 != 0.000000 at row 1, col 7
Mismatch 568179.000000 != 0.000000 at row 1, col 8
Mismatch 64305.000000 != 9117.000000 at row 2, col 0
Mismatch 127647.000000 != 0.000000 at row 2, col 1
Mismatch 190989.000000 != 0.000000 at row 2, col 2
Mismatch 254331.000000 != 14427.000000 at row 2, col 3
Mismatch 317673.000000 != 0.000000 at row 2, col 4
Mismatch 381015.000000 != 0.000000 at row 2, col 5
Mismatch 444357.000000 != 19737.000000 at row 2, col 6
Mismatch 507699.000000 != 0.000000 at row 2, col 7
Mismatch 571041.000000 != 0.000000 at row 2, col 8
Mismatch 64575.000000 != 9171.000000 at row 3, col 0
Mismatch 128241.000000 != 0.000000 at row 3, col 1
Mismatch 191907.000000 != 0.000000 at row 3, col 2
Mismatch 255573.000000 != 14517.000000 at row 3, col 3
Mismatch 319239.000000 != 0.000000 at row 3, col 4
Mismatch 382905.000000 != 0.000000 at row 3, col 5
Mismatch 446571.000000 != 19863.000000 at row 3, col 6
Mismatch 510237.000000 != 0.000000 at row 3, col 7
Mismatch 573903.000000 != 0.000000 at row 3, col 8
Mismatch 64845.000000 != 9225.000000 at row 4, col 0
Mismatch 128835.000000 != 0.000000 at row 4, col 1
